Nome do Município;Valor ICMS;Valor IPI;Valor IPVA;Valor Total
ABADIA DOS DOURADOS;1452690.53;17663.11;610136.37;2080490.01
ABAETE;2894859.82;35305.34;2241314.3;5171479.46
ABRE CAMPO;1192123.98;14527.5;1271073.9;2477725.38
ACAIACA;689248.36;8396.4;213703.66;911348.42
ACUCENA;1038712.97;12631.57;348132.34;1399476.88
AGUA BOA;1242132.57;15075.64;385328.64;1642536.85
AGUA COMPRIDA;1814601.67;22083.3;188612.32;2025297.29
AGUANIL;918108.19;11151.53;251831.22;1181090.94
AGUAS FORMOSAS;1402088.5;17065.7;856598.88;2275753.08
AGUAS VERMELHAS;1279745.04;15649.02;261233.12;1556627.18
AIMORES;3636531.98;44171.13;1175506.38;4856209.49
AIURUOCA;1084621.1;13191.76;568973.87;1666786.73
ALAGOA;747863.48;9129.12;237796.25;994788.85
ALBERTINA;864008.69;10431.96;241473.36;1115914.01
ALEM PARAIBA;4105206.23;49979.67;4245397.16;8400583.06
ALFENAS;12444544.52;150649.68;10859143.32;23454337.52
ALFREDO VASCONCELOS;1080803.97;13139.73;542902.89;1636846.59
ALMENARA;2747482.18;33543.52;2069769.08;4850794.78
ALPERCATA;899677.97;10963.4;271922.05;1182563.42
ALPINOPOLIS;2883007.74;35079.51;2010905.83;4928993.08
ALTEROSA;1784347.78;21725.15;1305511.08;3111584.01
ALTO CAPARAO;821650.47;9950.25;448623.79;1280224.51
ALTO JEQUITIBA;921414.25;11169.03;703610.15;1636193.43
ALTO RIO DOCE;1154651.43;14010.91;658248.96;1826911.3
ALVARENGA;646235.74;7887.71;250328.48;904451.93
ALVINOPOLIS;2029649.12;24696.53;1045882.8;3100228.45
ALVORADA DE MINAS;1731638.74;20261.77;157496.62;1909397.13
AMPARO DA SERRA;739789.68;9000.18;227323.58;976113.44
ANDRADAS;6403157.49;77966.15;5105312.73;11586436.37
ANDRELANDIA;2017600.85;24602.36;840384.23;2882587.44
ANGELANDIA;1032086.41;12541.56;284467.92;1329095.89
ANTONIO CARLOS;1252101.62;15263.61;712918.59;1980283.82
ANTONIO DIAS;3074811.77;37508.74;422995.65;3535316.16
ANTONIO PRADO DE MINAS;591470.18;7251.19;124305.56;723026.93
ARACAI;726638.86;8905.48;103899.79;839444.13
ARACITABA;534481.9;6533.13;93227.22;634242.25
ARACUAI;2332698.25;28320.86;1726913.44;4087932.55
ARAGUARI;30854936.1;374998.32;16150378.18;47380312.6
ARANTINA;667090.4;8170.48;176684.6;851945.48
ARAPONGA;1350153.31;16494.65;388749.92;1755397.88
ARAPORA;12353524.74;150765.77;458629.02;12962919.53
ARAPUA;1167248.19;14190.5;345997.64;1527436.33
ARAUJOS;1268914.66;15420.83;1005801.84;2290137.33
ARAXA;58316729.49;715357.84;16101929.96;75134017.29
ARCEBURGO;2572418.8;31348.47;884332.44;3488099.71
ARCOS;12244417.73;149253.32;5577411.99;17971083.04
AREADO;1605151.04;19534.35;1439444.21;3064129.6
ARGIRITA;716245.32;8778.14;134878.5;859901.96
ARICANDUVA;840259.54;10236;130599.33;981094.87
ARINOS;2448851.06;29979.12;645005.64;3123835.82
ASTOLFO DUTRA;1975122.37;24012.97;1156593.02;3155728.36
ATALEIA;972312.45;11782.41;395773.24;1379868.1
AUGUSTO DE LIMA;971426.61;11910.61;200770.64;1184107.86
BAEPENDI;1752520.73;21307.18;1677073.53;3450901.44
BALDIM;960808.73;11643.84;457425.89;1429878.46
BAMBUI;4388315.01;53503.66;2761179.11;7202997.78
BANDEIRA;832669.89;10185.27;117086.44;959941.6
BANDEIRA DO SUL;842072.12;10219.06;437608.92;1289900.1
BARAO DE COCAIS;5668283;69226.38;2923474.53;8660983.91
BARAO DE MONTE ALTO;676418.38;8243.67;259699.86;944361.91
BARBACENA;12637374.54;153921.83;15252419.45;28043715.82
BARRA LONGA;861845.75;10513.55;278160.95;1150520.25
BARROSO;2961243.84;36244.98;1739732.71;4737221.53
BELA VISTA DE MINAS;2461856;30000.16;776331.42;3268187.58
BELMIRO BRAGA;1038253.59;12631;181741.22;1232625.81
BELO HORIZONTE;287148314;3490671.64;631209704.4;921848690.1
BELO ORIENTE;15665193.74;192255.16;1589621.74;17447070.64
BELO VALE;5528843.92;67289.15;870501.21;6466634.28
BERILO;796867.99;9672.35;381060.17;1187600.51
BERIZAL;725705.56;8871.44;136107.39;870684.39
BERTOPOLIS;636285.1;7742.76;89190.88;733218.74
BETIM;224641746.1;2735798.08;39594266.36;266971810.5
BIAS FORTES;636354.73;7784.35;93060.39;737199.47
BICAS;1487774.81;18051.7;1560235.57;3066062.08
BIQUINHAS;701561.45;8571.29;266667.34;976800.08
BOA ESPERANCA;5802570.49;70653.47;4068079.97;9941303.93
BOCAINA DE MINAS;827301.3;10090.17;436280.17;1273671.64
BOCAIUVA;4279519.45;52104.08;3644321.57;7975945.1
BOM DESPACHO;6453305.57;78554.47;6294927.44;12826787.48
BOM JARDIM DE MINAS;1011650.41;12273.59;614611.64;1638535.64
BOM JESUS DA PENHA;1267235.21;15434.26;543179.35;1825848.82
BOM JESUS DO AMPARO;996876.64;12134.57;414444.35;1423455.56
BOM JESUS DO GALHO;1175641.34;14337.12;541321.67;1731300.13
BOM REPOUSO;1752240.47;21292.92;1564705.08;3338238.47
BOM SUCESSO;1790556.34;21645.31;1139924.43;2952126.08
BONFIM;1069760.84;12989.59;670224.73;1752975.16
BONFINOPOLIS DE MINAS;2904845.38;35360.54;391041.66;3331247.58
BONITO DE MINAS;1064499.99;12945.9;157339.85;1234785.74
BORDA DA MATA;1906710.73;23179.22;1723061.05;3652951
BOTELHOS;1915358.99;23285.94;1393429.16;3332074.09
BOTUMIRIM;904301.56;10971.54;145864.91;1061138.01
BRAS PIRES;664653.19;8133.5;298938.84;971725.53
BRASILANDIA DE MINAS;2126284.46;25906.46;952307.76;3104498.68
BRASILIA DE MINAS;2134460.5;25931.36;1452037.63;3612429.49
BRASOPOLIS;1393991.27;16938.91;1213010.61;2623940.79
BRAUNAS;1460702.33;17900.31;207104.39;1685707.03
BRUMADINHO;20663669.7;253011.3;5449112.31;26365793.31
BUENO BRANDAO;1501036.28;18291.4;1367824.03;2887151.71
BUENOPOLIS;1277173;15551.33;521255.4;1813979.73
BUGRE;532840.13;6466.23;144576.35;683882.71
BURITIS;7383952.09;89967.6;1261318.32;8735238.01
BURITIZEIRO;4563497.52;55673.08;1043676.42;5662847.02
CABECEIRA GRANDE;2759131.74;33589;158369.72;2951090.46
CABO VERDE;1875186.31;22771.74;983896.13;2881854.18
CACHOEIRA DA PRATA;611282.52;7441.5;275610.6;894334.62
CACHOEIRA DE MINAS;1997208.63;24300.63;980926.99;3002436.25
CACHOEIRA DO PAJEU;981552.2;11967.17;212062.66;1205582.03
